yahoo_ticker,sector,industry,quote_type,sector_source
OMC,Communication Services,Advertising Agencies,EQUITY,yfinance_info
OMF,Financial Services,Credit Services,EQUITY,yfinance_info
ON,Technology,Semiconductors,EQUITY,yfinance_info
ONE,,,NONE,no_sector_in_info
ORCL,Technology,Software - Infrastructure,EQUITY,yfinance_info
ORI,Financial Services,Insurance - Property & Casualty,EQUITY,yfinance_info
ORLY,Consumer Cyclical,Auto Parts,EQUITY,yfinance_info
OTEX,Technology,Software - Application,EQUITY,yfinance_info
OTIS,Industrials,Specialty Industrial Machinery,EQUITY,yfinance_info
OTRKB,,,MUTUALFUND,no_sector_in_info
OXY,Energy,Oil & Gas E&P,EQUITY,yfinance_info
OZRK,,,NONE,no_sector_in_info
PAA,Energy,Oil & Gas Midstream,EQUITY,yfinance_info
PANW,Technology,Software - Infrastructure,EQUITY,yfinance_info
PAYX,Technology,Software - Application,EQUITY,yfinance_info
PBG,,,MUTUALFUND,no_sector_in_info
PBI,Industrials,Integrated Freight & Logistics,EQUITY,yfinance_info
PBR,Energy,Oil & Gas Integrated,EQUITY,yfinance_info
PCAR,Industrials,Farm & Heavy Construction Machinery,EQUITY,yfinance_info
PCG,Utilities,Utilities - Regulated Electric,EQUITY,yfinance_info
PCL,,,ETF,no_sector_in_info
PCLN,,,EQUITY,no_sector_in_info
PCP,,,MUTUALFUND,no_sector_in_info
PD,Technology,Software - Application,EQUITY,yfinance_info
PDCE,,,NONE,no_sector_in_info
PDCO,,,NONE,no_sector_in_info
PEG,Utilities,Utilities - Regulated Electric,EQUITY,yfinance_info
PEP,Consumer Defensive,Beverages - Non-Alcoholic,EQUITY,yfinance_info
PERP,,,,no_sector_in_info
PETM,,,MUTUALFUND,no_sector_in_info
PF,,,MUTUALFUND,no_sector_in_info
PFA,,,MUTUALFUND,no_sector_in_info
PFE,Healthcare,Drug Manufacturers - General,EQUITY,yfinance_info
PFG,Financial Services,Asset Management,EQUITY,yfinance_info
PFGC,Consumer Defensive,Food Distribution,EQUITY,yfinance_info
PFSI,Financial Services,Mortgage Finance,EQUITY,yfinance_info
PG,Consumer Defensive,Household & Personal Products,EQUITY,yfinance_info
PGN,,,MUTUALFUND,no_sector_in_info
PGR,Financial Services,Insurance - Property & Casualty,EQUITY,yfinance_info
PH,Industrials,Specialty Industrial Machinery,EQUITY,yfinance_info
PHA,,,MUTUALFUND,no_sector_in_info
PHG,Healthcare,Medical Devices,EQUITY,yfinance_info
PHIIK,,,NONE,no_sector_in_info
PHM,Consumer Cyclical,Residential Construction,EQUITY,yfinance_info
PII,Consumer Cyclical,Recreational Vehicles,EQUITY,yfinance_info
PINS,Communication Services,Internet Content & Information,EQUITY,yfinance_info
PKG,Consumer Cyclical,Packaging & Containers,EQUITY,yfinance_info
PKI,,,NONE,no_sector_in_info
PLD,Real Estate,REIT - Industrial,EQUITY,yfinance_info
PLL,,,,no_sector_in_info
PLMR,Financial Services,Insurance - Property & Casualty,EQUITY,yfinance_info
PLT,,,ETF,no_sector_in_info
PLXS,Technology,Electronic Components,EQUITY,yfinance_info
PM,Consumer Defensive,Tobacco,EQUITY,yfinance_info
PMI,Healthcare,Medical Devices,EQUITY,yfinance_info
PNC,Financial Services,Banks - Regional,EQUITY,yfinance_info
PNR,Industrials,Specialty Industrial Machinery,EQUITY,yfinance_info
POOL,Industrials,Industrial Distribution,EQUITY,yfinance_info
POSS,,,MUTUALFUND,no_sector_in_info
POT,,,MUTUALFUND,no_sector_in_info
POWI,Technology,Semiconductors,EQUITY,yfinance_info
PPDI,,,MUTUALFUND,no_sector_in_info
PPG,Basic Materials,Specialty Chemicals,EQUITY,yfinance_info
PPL,Utilities,Utilities - Regulated Electric,EQUITY,yfinance_info
PRE,Consumer Defensive,Packaged Foods,EQUITY,yfinance_info
PRGO,Healthcare,Drug Manufacturers - Specialty & Generic,EQUITY,yfinance_info
PRU,Financial Services,Insurance - Life,EQUITY,yfinance_info
PRY,,,MUTUALFUND,no_sector_in_info
PSA,Real Estate,REIT - Industrial,EQUITY,yfinance_info
PSCDQ,,,MUTUALFUND,no_sector_in_info
PSMT,Consumer Defensive,Discount Stores,EQUITY,yfinance_info
PSON,,,NONE,no_sector_in_info
PSTG,,,,no_sector_in_info
PSX,Energy,Oil & Gas Refining & Marketing,EQUITY,yfinance_info
PTEN,Energy,Oil & Gas Drilling,EQUITY,yfinance_info
PTLA,,,NONE,no_sector_in_info
PTR,,,NONE,no_sector_in_info
PTV,,,MUTUALFUND,no_sector_in_info
PVH,Consumer Cyclical,Apparel Manufacturing,EQUITY,yfinance_info
PVT,,,NONE,no_sector_in_info
PWR,Industrials,Engineering & Construction,EQUITY,yfinance_info
PX,,,,no_sector_in_info
PXD,,,NONE,no_sector_in_info
PYPL,Financial Services,Credit Services,EQUITY,yfinance_info
Q,Technology,Semiconductor Equipment & Materials,EQUITY,yfinance_info
QCOM,Technology,Semiconductors,EQUITY,yfinance_info
QCOR,,,MUTUALFUND,no_sector_in_info
QRVO,Technology,Semiconductors,EQUITY,yfinance_info
QVCA,,,MUTUALFUND,no_sector_in_info
R,Industrials,Rental & Leasing Services,EQUITY,yfinance_info
RAD,,,NONE,no_sector_in_info
RADI,,,NONE,no_sector_in_info
RAI,,,MUTUALFUND,no_sector_in_info
RAX,,,MUTUALFUND,no_sector_in_info
RBC,Industrials,Tools & Accessories,EQUITY,yfinance_info
RBK,,,MUTUALFUND,no_sector_in_info
RBLX,Communication Services,Electronic Gaming & Multimedia,EQUITY,yfinance_info
RCI,Communication Services,Telecom Services,EQUITY,yfinance_info
RCL,Consumer Cyclical,Travel Services,EQUITY,yfinance_info
RDN,Financial Services,Insurance - Specialty,EQUITY,yfinance_info
RDS,,,MUTUALFUND,no_sector_in_info
RDSA,,,NONE,no_sector_in_info
RE,,,NONE,no_sector_in_info
RELIQ,,,,no_sector_in_info
RENA,,,,no_sector_in_info
RGA,Financial Services,Insurance - Reinsurance,EQUITY,yfinance_info
RGC,Healthcare,Drug Manufacturers - Specialty & Generic,EQUITY,yfinance_info
RGR,Industrials,Aerospace & Defense,EQUITY,yfinance_info
RHHBY,Healthcare,Drug Manufacturers - General,EQUITY,yfinance_info
RHKG,,,,no_sector_in_info
RIG,Energy,Oil & Gas Drilling,EQUITY,yfinance_info
